country,year,Export,Import
ARE,2008,210000000000.0,175485699238.0
ARE,2009,174725000000.0,164251000000.0
ARE,2010,198362000000.0,187001000000.0
ARE,2011,252556000000.0,210945000000.0
ARE,2012,350123000000.0,261022920180.0
ARE,2013,371217682109.22,294955904012.002
ARE,2014,343043069617.814,298608729224.014
ARE,2015,300478647816.83,287024695498.028
ARE,2016,295046691148.668,270779148786.635
ARE,2017,313599362102.95,257733259747.664
ARE,2018,387964272061.879,244687551962.78
ARE,2019,389427993903.956,288446698975.132
ARE,2020,335296907869.73,246961070632.623
ARE,2021,425159796503.562,347528997702.207
ARE,2022,515621189049.101,420493197887.132
ARE,2023,570245383584.532,470536019784.564
ARG,1993,13117745152.0,16772908032.0
ARG,1994,15838651392.0,21581053952.0
ARG,1995,20962574336.0,20121640960.0
ARG,1996,23809628160.0,23761555456.0
ARG,1997,26430820352.0,30349402112.0
ARG,1998,26433671168.0,31377246208.0
ARG,1999,23332660078.0,25507944033.0
ARG,2000,26341029193.0,25280463491.0
ARG,2001,26610055335.0,20321127098.0
ARG,2002,25709371110.0,8989546000.0
ARG,2003,29938752000.0,13850774000.0
ARG,2004,34575705522.0,22445246576.0
ARG,2005,40106386092.0,28688637653.0
ARG,2006,46546224081.0,34153541756.0
ARG,2007,55779579836.0,44707041808.0
ARG,2008,70018850811.0,57461774372.0
ARG,2009,55672118600.0,38786161790.0
ARG,2010,68174446579.0,56792378207.0
ARG,2011,82981091282.0,73960656100.0
ARG,2012,79982379582.0,67973971893.0
ARG,2013,75962981361.0,74441745276.0
ARG,2014,68404346618.25,65735987757.05
ARG,2015,56783952503.68,60202843498.91
ARG,2016,57879346239.27,55910810438.22
ARG,2017,58384194969.28,66899299586.97
ARG,2018,61559407361.54,65440966165.64
ARG,2019,65115326623.66,49125029975.95
ARG,2020,54883822445.7,42355505399.72
ARG,2021,77934314986.58,63183637614.17
ARG,2022,88445718838.32,81522681076.03
ARG,2023,66788515986.35,73713612595.47
ARG,2024,79720582571.83,60821818831.17
ARM,1997,215273552.0,754439680.0
ARM,1999,231666237.0,810846494.0
ARM,2000,294102939.0,840307429.0
ARM,2001,335831375.0,837467564.0
ARM,2002,527203711.0,962930979.0
ARM,2003,670474788.0,1236583577.0
ARM,2004,722911500.0,1349761910.0
ARM,2005,936977335.0,1691542087.0
ARM,2006,1003961105.0,2194358169.0
ARM,2007,1121222464.0,3052565547.0
ARM,2008,1055012744.0,4101217006.0
ARM,2009,683989374.0,3174631229.0
ARM,2010,1011424747.0,3781767406.0
ARM,2011,1320411381.0,4109348430.0
ARM,2012,1428120692.0,4266895650.0
ARM,2013,1467799672.0,4256217854.0
ARM,2014,1490190146.0,4159517448.0
ARM,2015,1482667349.0,3256964792.0
ARM,2016,1807789510.0,3218457706.0
ARM,2017,2144962969.58,3893454903.13
ARM,2018,2383413799.738,4809614541.65
ARM,2019,2618637445.53,5062814717.898
ARM,2020,2332082153.105,4451099637.6
ARM,2021,2964798290.08,5323905109.255
ARM,2022,5364133601.71,8649653422.74
ARM,2023,8371154741.16,12021704841.817
ARM,2024,13028124239.824,16803221032.392
ATG,1999,14974068.0,356003488.0
ATG,2000,22519698.0,338187415.0
ATG,2005,120636130.0,525205964.0
ATG,2006,,670748045.0
ATG,2007,98628077.0,573078069.0
ATG,2009,205701562.0,699056325.0
ATG,2010,34828290.0,501230695.0
ATG,2011,29028024.0,471410407.0
ATG,2012,29006273.0,532257671.0
ATG,2013,32922552.0,507891844.0
ATG,2014,23082464.0,551751293.0
ATG,2015,26045541.0,465127071.0
ATG,2016,61043254.0,490525305.0
ATG,2017,62390602.713,629819171.869
ATG,2018,25841081.559,569155190.996
ATG,2019,37400118.403,568340063.182
ATG,2020,22199424.632,498112635.318
ATG,2021,19147287.133,595524418.212
ATG,2022,21876396.041,627945130.265
ATG,2023,30496874.229,669653743.723
ATG,2024,33361871.393,663106097.844
AUS,1988,32205394052.0,33025740133.0
AUS,1989,35761442364.0,39839624977.0
AUS,1990,38781276003.0,38632769854.0
AUS,1991,40782719646.0,38456377341.0
AUS,1992,42078850998.0,40598172996.0
AUS,1993,41879201003.0,42366602456.0
AUS,1994,47253810043.0,49918035761.0
AUS,1995,53000545492.0,57422799123.0
AUS,1996,60206784511.0,61400054057.0
AUS,1997,62816517159.0,61833388139.0
AUS,1998,55808521696.0,60774257104.0
AUS,1999,54534196028.0,65198357215.0
AUS,2000,63766334251.0,71555125639.0
AUS,2001,63288188610.0,64319977353.0
AUS,2002,64984167265.0,73025896959.0
AUS,2003,70288235404.0,89065101558.0
AUS,2004,86484037752.0,109482715206.0
AUS,2005,106011050685.0,125221245282.0
AUS,2006,123324472734.0,139354165032.0
AUS,2007,141181512401.0,165471525339.0
AUS,2008,186853013588.0,200617274510.0
AUS,2009,153899575950.0,165601136423.0
AUS,2010,212108726296.0,201703333727.0
AUS,2011,269423385464.0,234205823230.0
AUS,2012,256242912988.0,250464794398.0
AUS,2013,252155105281.0,232481271344.0
AUS,2014,240444683866.0,227544231343.0
AUS,2015,187792151470.0,200113779978.0
AUS,2016,189629974559.0,189406027941.0
AUS,2017,230536736593.854,228429293201.109
AUS,2018,256565262375.592,235632823913.726
AUS,2019,270260835869.77,221527797251.589
AUS,2020,247159345941.573,210212509293.219
AUS,2021,342036103269.844,261586379464.768
AUS,2022,410252834479.043,309300244763.119
AUS,2023,369235124159.052,287861341163.506
AUS,2024,340854851740.669,296481761665.157
AUT,1994,45072183296.0,55290413056.0
AUT,1995,57582931968.0,66405670912.0
AUT,1996,57830457344.0,67283750912.0
AUT,1997,56713719808.0,63630995456.0
AUT,1998,60856832000.0,67098177536.0
AUT,1999,59271554655.0,66003473393.0
AUT,2000,63674699062.0,68373911913.0
AUT,2001,66492423852.0,70491571059.0
AUT,2002,73112664770.0,72796195961.0
AUT,2003,89256767360.0,91595357834.0
AUT,2004,110829757357.0,111261147199.0
AUT,2005,117721712170.0,119950092010.0
AUT,2006,134169531326.0,134356314386.0
AUT,2007,156588406562.0,156055652650.0
AUT,2008,172227951752.0,175025754112.0
AUT,2009,131387248005.0,136418429213.0
AUT,2010,144882002012.0,150592664071.0
AUT,2011,169511432541.0,182349823981.0
AUT,2012,158820719332.351,169657276310.24
AUT,2013,166273910254.833,173366037687.729
AUT,2014,169712859499.776,172446638357.056
AUT,2015,145275530315.015,147927653250.615
AUT,2016,144700690215.736,149987386054.557
AUT,2017,159970530802.934,166475080970.019
AUT,2018,176991970620.195,184195200603.949
AUT,2019,171532054962.314,176596131348.864
AUT,2020,162145129017.335,164635579303.554
AUT,2021,194703245949.459,210913061446.332
AUT,2022,203753247346.142,226475409356.762
AUT,2023,216176589470.172,219097053477.848
AZE,1996,631244864.0,960603264.0
AZE,1997,781308992.0,794337920.0
AZE,1998,606149440.0,1076489216.0
