country,year,ILO
BWA,2010,101.528
BWA,2006,81.695
CAN,2014,3586.0
CAN,2013,3586.3
CAN,2012,3566.4
CAN,2011,3500.2
CAN,2010,3421.2
CAN,2009,3393.9
CHE,2024,966.214
CHE,2023,963.056
CHE,2022,952.269
CHE,2021,948.165
CHE,2020,958.747
CHE,2019,959.813
CHE,2018,954.146
CHE,2017,949.111
CHE,2016,946.471
CHE,2015,939.19
CHE,2014,943.033
CHE,2013,951.106
CHE,2012,938.375
CHE,2011,941.954
CHE,2010,928.409
CHE,2009,944.453
CHE,2008,848.742
CHE,2007,840.502
CHE,2006,829.641
CHE,2005,805.465
CHE,2004,803.294
CHE,2003,802.674
CHE,2002,826.945
CHE,2001,875.215
CHE,2000,848.001
CHL,2024,2012.751
CHL,2023,2002.615
CHL,2022,2019.744
CHL,2021,1906.386
CHL,2020,1722.523
CHL,2019,1989.416
CHL,2018,1961.253
CHL,2017,1946.804
CHL,2016,1930.099
CHL,2015,1976.708
CHL,2014,1932.018
CHL,2013,1940.199
CHL,2012,1877.212
CHL,2011,1790.091
CHL,2010,1680.508
CHL,2009,1449.536
CHL,2006,1647.158
CHL,2003,1433.734
CHL,2000,1347.39
CHN,2000,115079.8
CIV,2022,1572.329
CIV,2019,928.781
CIV,2017,964.184
CIV,2016,663.141
CMR,2021,1332.681
CMR,2014,1185.813
CMR,2007,897.965
CMR,2005,374.12
COD,2012,2298.36
COD,2005,1562.781
COG,2009,123.864
COK,2019,0.915
COK,2016,0.761
COL,2024,4612.154
COL,2023,4555.57
COL,2022,4478.025
COL,2021,4178.606
COL,2020,3793.592
COL,2019,4269.93
COL,2018,4180.847
COL,2017,4063.416
COL,2016,3987.052
COL,2015,4059.22
COL,2014,4019.903
COL,2013,3883.03
COL,2012,4044.276
COL,2011,3929.431
COL,2010,3681.692
COL,2009,3620.608
COL,2008,3457.969
COL,2007,3682.951
COL,2005,3379.064
COL,2004,3306.788
COL,2003,3165.833
COL,2002,3095.634
COM,2021,34.108
COM,2014,33.02
COM,2004,17.531
CPV,2019,44.89
CPV,2018,42.531
CPV,2017,44.63
CPV,2015,22.599
CPV,2009,29.565
CRI,2024,417.986
CRI,2023,435.175
CRI,2022,422.606
CRI,2021,370.52
CRI,2020,364.424
CRI,2019,407.315
CRI,2018,413.845
CRI,2017,375.952
CRI,2016,370.539
CRI,2015,393.406
CRI,2014,364.107
CRI,2013,333.276
CRI,2012,360.352
CRI,2011,350.476
CRI,2010,371.046
CRI,2009,407.268
CRI,2008,437.999
CRI,2007,425.169
CRI,2006,394.068
CRI,2005,379.409
CRI,2004,361.752
CRI,2003,361.739
CRI,2002,352.912
CRI,2001,358.588
CUB,2010,846.38
CUB,2009,887.207
CYM,2015,5.063
CYM,2014,4.608
CYM,2013,5.592
CYM,2012,5.57
CYM,2011,4.994
CYP,2023,77.411
CYP,2022,77.299
CYP,2021,77.344
CYP,2020,81.431
CYP,2019,76.777
CYP,2018,66.79
CYP,2017,64.715
CYP,2016,61.903
CYP,2015,58.119
CYP,2014,59.916
CYP,2013,64.117
CYP,2012,77.703
CYP,2011,83.218
CYP,2010,80.636
CYP,2009,83.56
CYP,2008,88.231
CYP,2007,85.112
CYP,2006,80.907
CYP,2005,83.692
CYP,2004,81.09
CYP,2003,74.823
CYP,2002,73.097
CYP,2001,73.336
CYP,2000,69.821
CZE,2023,1847.263
CZE,2022,1907.221
CZE,2021,1921.392
CZE,2020,1949.832
CZE,2019,1975.4
CZE,2018,1984.95
CZE,2017,1986.872
CZE,2016,1956.085
CZE,2015,1917.026
CZE,2014,1892.148
CZE,2013,1851.906
CZE,2012,1864.25
CZE,2011,1873.29
CZE,2010,1855.67
CZE,2009,1903.079
CZE,2008,2027.207
CZE,2007,1812.069
DEU,2023,11367.12
DEU,2022,11318.74
DEU,2021,11321.097
DEU,2020,11267.732
DEU,2019,11509.243
DEU,2018,11460.202
DEU,2017,11419.6
DEU,2016,11290.895
DEU,2015,11116.882
DEU,2014,11207.089
DEU,2013,10946.924
DEU,2012,11031.827
DEU,2011,10712.552
DEU,2010,10857.911
DEU,2009,11104.696
DEU,2008,11348.122
DEU,2007,11526.365
DEU,2006,11108.528
DEU,2005,10846.45
DEU,2004,11083.029
DEU,2003,11272.78
DEU,2002,11740.755
DEU,2001,11973.955
DEU,2000,12179.631
DJI,2017,4.286
DNK,2023,579.381
DNK,2022,569.087
DNK,2021,560.326
DNK,2020,537.113
DNK,2019,531.868
DNK,2018,534.494
DNK,2017,523.09
DNK,2016,520.981
DNK,2015,524.61
DNK,2014,514.783
DNK,2013,516.726
DNK,2012,522.243
DNK,2011,532.45
DNK,2010,528.425
DNK,2009,559.003
DNK,2008,652.592
DNK,2007,658.365
DNK,2006,653.745
DNK,2005,656.547
DNK,2004,648.269
DNK,2003,624.715
DNK,2002,642.069
DNK,2001,688.481
DNK,2000,685.961
DOM,2023,927.305
DOM,2022,911.911
DOM,2021,922.786
DOM,2020,855.203
DOM,2019,877.897
DOM,2018,889.173
DOM,2017,851.172
DOM,2016,810.249
DOM,2015,755.53
DOM,2014,714.236
DOM,2013,661.396
DOM,2012,713.068
DOM,2011,683.13
DOM,2010,670.026
DOM,2009,634.082
DOM,2008,762.454
DOM,2007,777.473
DOM,2006,753.557
DOM,2005,731.03
DOM,2004,735.883
DOM,2003,687.389
DOM,2002,671.734
DOM,2001,711.212
DOM,2000,751.792
DZA,2014,5278.0
ECU,2024,1371.873
ECU,2023,1416.487
ECU,2022,1413.861
ECU,2021,1337.783
ECU,2020,1121.718
ECU,2019,1351.853
ECU,2018,1441.017
ECU,2017,1440.849
ECU,2016,1393.534
ECU,2015,1405.855
ECU,2014,1353.813
ECU,2013,1277.396
ECU,2012,1139.896
ECU,2011,1124.351
ECU,2010,1135.844
ECU,2009,1152.23
ECU,2008,1149.074
ECU,2007,1121.476
ECU,2006,1126.507
ECU,2005,1024.784
ECU,2004,1008.55
ECU,2003,985.052
ECU,2001,1134.949
EGY,2023,8435.996
EGY,2022,7990.935
EGY,2021,7691.31
EGY,2020,7445.818
EGY,2019,7452.74
EGY,2018,6980.642
EGY,2017,6904.967
EGY,2016,6459.913
EGY,2015,6215.31
EGY,2013,5780.488
EGY,2012,5857.538
EGY,2011,5490.381
EGY,2010,6039.123
EGY,2009,5452.193
ESP,2024,4350.676
ESP,2023,4242.109
ESP,2022,4204.166
ESP,2021,4099.934
ESP,2020,3995.601
ESP,2019,4047.532
ESP,2018,3917.828
ESP,2017,3772.008
ESP,2016,3611.763
ESP,2015,3627.868
ESP,2014,3328.472
ESP,2013,3448.028
ESP,2012,3638.241
ESP,2011,3947.682
ESP,2010,4342.359
ESP,2009,4678.672
ESP,2008,5654.034
ESP,2007,5991.052
ESP,2006,5829.082
ESP,2005,5679.57
ESP,2004,5442.931
ESP,2003,5351.4
ESP,2002,5204.268
ESP,2001,5057.614
ESP,2000,4759.92
EST,2023,191.606
EST,2022,194.794
EST,2021,189.86
EST,2020,192.2
EST,2019,194.532
EST,2018,197.992
EST,2017,195.455
EST,2016,192.465
EST,2015,197.481
EST,2014,188.135
EST,2013,187.905
EST,2012,191.107
EST,2011,195.504
EST,2010,171.947
EST,2009,186.433
EST,2008,230.94
EST,2007,230.8
EST,2006,218.447
EST,2005,209.596
EST,2004,205.116
EST,2003,183.034
EST,2002,175.356
EST,2001,196.519
EST,2000,205.062
ETH,2021,2336.503
ETH,2013,2984.858
ETH,2005,1968.085
FIN,2023,561.272
FIN,2022,548.307
FIN,2021,560.75
FIN,2020,532.928
FIN,2019,554.946
FIN,2018,556.468
FIN,2017,539.126
FIN,2016,544.065
FIN,2015,513.38
FIN,2014,559.308
FIN,2013,546.332
FIN,2012,559.77
FIN,2011,571.45
FIN,2010,586.458
FIN,2009,573.047
FIN,2008,634.165
FIN,2007,650.455
FIN,2006,631.22
FIN,2005,626.256
FIN,2004,619.301
FIN,2003,638.288
FIN,2002,651.781
FIN,2001,648.749
FIN,2000,660.136
FJI,2016,46.357
FJI,2014,45.186
FJI,2011,50.769
FJI,2005,65.561
FRA,2023,5453.964
FRA,2022,5389.376
FRA,2021,5294.147
FRA,2020,5315.216
FRA,2019,5451.185
FRA,2018,5388.905
FRA,2017,5404.327
FRA,2016,5325.104
FRA,2015,5317.426
FRA,2014,5360.736
FRA,2013,5449.387
FRA,2012,5588.412
FRA,2011,5682.501
FRA,2010,5695.422
FRA,2009,5787.393
FRA,2008,5991.387
FRA,2007,5869.035
FRA,2006,5900.541
FRA,2005,5817.131
FRA,2004,5941.432
FRA,2003,5894.095
FRA,2002,6065.175
FRA,2001,6162.874
FRA,2000,6072.914
FSM,2014,2.202
GBR,2024,5373.493
GBR,2023,5244.264
GBR,2022,5448.432
GBR,2021,5435.943
GBR,2020,5595.044
GBR,2019,5705.804
GBR,2018,5831.836
GBR,2017,5803.955
GBR,2016,5748.205
GBR,2015,5785.853
GBR,2014,4342.087
GBR,2013,5522.934
GBR,2012,5597.423
GBR,2011,5584.179
GBR,2010,5566.389
GBR,2009,5669.835
GBR,2008,6312.808
GBR,2007,6488.018
GBR,2006,6401.695
GBR,2005,6377.202
GBR,2004,6295.115
GBR,2003,6533.571
GBR,2002,6616.861
GBR,2001,6765.179
GBR,2000,6843.934
GEO,2020,226.619
GEO,2019,240.964
GEO,2018,243.856
GEO,2017,224.745
GEO,2016,203.889
GEO,2015,190.222
GEO,2014,187.532
GEO,2013,176.95
GEO,2012,178.926
GEO,2011,179.248
GEO,2010,172.377
GEO,2009,164.497
GHA,2022,2045.376
GHA,2021,1594.09
GHA,2017,2105.684
GHA,2015,1652.221
GHA,2013,1685.365
GHA,2010,1554.88
GHA,2006,1295.779
GHA,2000,1153.46
GIN,2014,459.22
GMB,2023,115.888
GMB,2018,56.287
GMB,2012,83.998
GNB,2022,68.345
GNB,2018,37.926
GRC,2024,698.9
GRC,2023,668.523
GRC,2022,643.499
GRC,2021,600.078
GRC,2020,537.144
GRC,2019,542.4
GRC,2018,533.079
GRC,2017,577.575
GRC,2016,559.29
GRC,2015,538.825
GRC,2014,528.997
GRC,2013,545.59
GRC,2012,609.854
GRC,2011,716.425
GRC,2010,858.75
GRC,2009,961.686
GRC,2008,1023.937
GRC,2007,1023.685
GRC,2006,996.686
GRC,2005,989.678
GRC,2004,976.644
GRC,2003,980.606
GRC,2002,969.79
GRC,2001,963.895
GRC,2000,927.088
GRD,2023,7.133
GRD,2021,20.054
GRD,2020,7.753
GRD,2019,38.717
GRD,2018,10.02
GTM,2023,1754.787
GTM,2022,1527.227
GTM,2021,1598.27
GTM,2019,1353.844
GTM,2018,1320.878
GTM,2017,1270.877
GTM,2016,1360.505
GTM,2015,1179.128
GTM,2014,1179.203
GTM,2013,1046.917
GTM,2012,1180.77
GTM,2011,1061.281
GTM,2010,1141.024
GTM,2006,835.421
GTM,2004,897.207
GTM,2003,1045.643
GTM,2002,922.905
GUY,2019,58.67
GUY,2018,62.568
HKG,2024,462.725
HKG,2023,462.067
HKG,2022,449.09
HKG,2021,443.016
HKG,2020,438.543
HKG,2019,468.975
HKG,2018,479.687
HKG,2017,475.677
HKG,2016,472.118
HKG,2015,455.224
HKG,2014,462.285
HKG,2013,458.727
HKG,2012,447.448
HKG,2011,434.068
HKG,2010,421.149
HKG,2009,412.4
HND,2023,804.054
HND,2022,877.411
HND,2021,901.459
HND,2020,855.533
HND,2019,819.743
HND,2018,791.887
HND,2017,758.431
HND,2016,758.026
HND,2015,758.081
HND,2014,728.295
HND,2013,634.943
HND,2012,620.515
HND,2011,611.271
HND,2010,588.059
HND,2009,616.884
HND,2008,623.534
HND,2007,587.652
HND,2006,571.392
HND,2005,594.939
HRV,2023,441.415
HRV,2022,443.321
HRV,2021,450.283
HRV,2020,437.518
HRV,2019,437.558
HRV,2018,429.276
HRV,2017,406.76
HRV,2016,411.755
HRV,2015,412.413
HRV,2014,412.431
HRV,2013,410.759
HRV,2012,426.282
HRV,2011,453.699
HRV,2010,463.675
HRV,2009,509.611
HRV,2008,546.098
HRV,2007,531.072
HRV,2006,465.185
HRV,2005,450.117
HRV,2004,469.026
HRV,2003,464.94
HRV,2002,453.437
HUN,2023,1461.822
HUN,2022,1465.171
HUN,2021,1449.008
HUN,2020,1413.185
HUN,2019,1444.622
HUN,2018,1447.804
HUN,2017,1393.769
HUN,2016,1323.512
HUN,2015,1274.958
HUN,2014,1246.11
HUN,2013,1163.746
HUN,2012,1140.199
HUN,2011,1159.241
HUN,2010,1145.989
HUN,2009,1167.684
HUN,2008,1240.062
HUN,2007,1268.717
HUN,2006,1269.623
HUN,2005,1267.039
HUN,2004,1282.955
HUN,2003,1310.461
HUN,2002,1320.34
HUN,2001,1328.338
HUN,2000,1285.634
IDN,2023,30565.877
IDN,2022,29567.325
IDN,2021,28402.621
IDN,2020,28251.638
IDN,2019,29409.844
IDN,2017,27033.441
IDN,2016,25966.47
IDN,2015,25968.576
IDN,2014,24904.59
IDN,2013,23960.061
IDN,2012,23922.31
IDN,2010,20100.029
IDN,2009,19139.987
IDN,2008,18852.017
IDN,2007,18790.808
IMN,2016,5.924
IMN,2011,6.517
IND,2024,122489.102
IND,2023,118109.251
IND,2022,116195.21
IND,2021,99435.749
IND,2020,91691.611
IND,2019,95942.189
IND,2018,88115.752
IND,2010,83757.228
IRL,2023,470.278
IRL,2022,498.484
IRL,2021,464.462
IRL,2020,431.029
IRL,2019,434.709
IRL,2018,423.24
IRL,2017,411.902
IRL,2016,394.209
IRL,2015,371.455
IRL,2014,343.512
IRL,2013,333.585
IRL,2012,318.893
IRL,2011,328.731
IRL,2010,346.676
IRL,2009,398.616
IRL,2008,510.113
IRL,2007,570.017
IRL,2006,555.855
IRL,2005,536.609
IRL,2004,506.496
IRL,2003,497.494
IRL,2002,487.226
IRL,2001,498.09
IRL,2000,475.685
IRN,2023,8248.225
IRN,2022,7958.682
IRN,2021,7924.43
IRN,2020,7742.781
IRN,2019,7755.269
IRN,2018,7591.481
IRN,2017,7445.063
IRN,2016,7151.398
IRN,2015,7117.6
IRN,2014,7158.965
IRN,2013,7268.413
IRN,2012,3472.891
IRN,2011,3444.366
IRN,2010,3538.03
IRN,2009,3673.656
IRN,2008,3576.141
IRQ,2021,2233.706
ISL,2023,40.073
ISL,2022,37.7
ISL,2021,37.197
ISL,2020,34.882
ISL,2019,35.044
ISL,2018,33.225
ISL,2017,33.816
ISL,2016,33.187
ISL,2015,32.662
ISL,2014,32.668
ISL,2013,32.168
ISL,2012,30.49
ISL,2011,30.724
ISL,2010,30.493
ISL,2009,32.282
ISL,2008,38.906
ISL,2007,36.577
ISL,2006,36.112
ISL,2005,34.559
ISL,2004,36.495
ISL,2003,34.059
ISL,2002,35.209
ISL,2001,36.135
ISL,2000,34.586
ISR,2023,644.61
ISR,2022,636.74
ISR,2021,612.954
ISR,2020,603.028
ISR,2019,631.071
ISR,2018,646.776
ISR,2017,646.968
ISR,2016,638.348
ISR,2015,625.573
ISR,2014,615.056
ISR,2013,598.349
ISR,2012,568.658
ISR,2011,595.127
ISR,2010,587.146
ISR,2009,570.21
ITA,2023,6281.108
ITA,2022,6206.974
ITA,2021,6008.251
ITA,2020,5975.969
ITA,2019,5989.266
ITA,2018,5996.902
ITA,2017,5986.346
ITA,2016,5944.767
ITA,2015,5975.547
ITA,2014,5993.216
ITA,2013,6001.84
ITA,2012,6224.042
ITA,2011,6392.549
ITA,2010,6444.524
ITA,2009,6636.71
ITA,2008,6881.013
ITA,2007,6898.211
ITA,2006,6838.727
ITA,2005,6875.372
ITA,2004,6911.062
ITA,2003,7002.089
ITA,2002,6871.985
ITA,2001,6780.404
ITA,2000,6651.926
JAM,2023,247.152
JAM,2022,220.622
JAM,2021,207.197
JAM,2017,188.806
JAM,2014,168.519
JAM,2013,168.221
JAM,2012,168.006
JAM,2011,175.539
JAM,2010,174.335
JAM,2009,187.272
JAM,2008,211.599
JOR,2023,450.809
JOR,2022,454.108
JOR,2021,430.412
JOR,2020,416.933
JOR,2019,423.173
JOR,2018,422.555
JOR,2017,427.093
JPN,2022,15409.052
JPN,2021,15346.013
JPN,2020,15503.838
JPN,2019,15762.287
JPN,2018,15742.423
JPN,2017,16046.34
JPN,2016,15845.51
JPN,2015,15853.275
JPN,2014,15942.387
JPN,2013,15868.078
JPN,2012,15841.113
JPN,2011,15558.833
JPN,2010,15977.994
JPN,2009,16427.434
JPN,2008,17601.252
JPN,2007,18002.263
JPN,2006,18011.995
JPN,2005,17869.758
JPN,2004,18039.636
JPN,2003,18558.721
JPN,2002,18581.652
JPN,2001,19362.772
JPN,2000,19925.225
KEN,2022,1987.936
KEN,2021,2162.805
KEN,2019,2808.509
KGZ,2022,675.489
KGZ,2021,676.9
KGZ,2020,605.725
KGZ,2019,649.376
KGZ,2018,586.731
KGZ,2017,574.62
KGZ,2016,521.806
KGZ,2015,489.952
KGZ,2014,470.108
KGZ,2013,456.408
KGZ,2012,495.096
KGZ,2011,476.527
KGZ,2010,470.702
KHM,2021,2477.686
KHM,2020,2320.405
KHM,2019,2132.076
KHM,2017,2320.126
KHM,2016,2307.085
KHM,2015,2149.597
KHM,2014,2025.176
KHM,2013,1595.378
KHM,2012,1816.794
KHM,2011,1350.557
KHM,2010,1270.255
KHM,2009,1208.082
KHM,2008,1106.411
KHM,2007,1037.379
KHM,2003,899.53
KHM,2001,649.406
KHM,2000,439.283
KIR,2020,1.83
KIR,2019,2.232
KIR,2015,5.074
KOR,2024,6760.706
KOR,2023,6817.473
KOR,2022,6869.832
KOR,2021,6710.164
KOR,2020,6630.902
KOR,2019,6666.243
KOR,2018,6759.704
KOR,2017,6769.85
KOR,2016,6668.784
KOR,2015,6664.224
KOR,2014,6471.203
KOR,2013,6267.919
KOR,2012,6131.055
KOR,2011,6090.924
KOR,2010,6005.698
KOR,2009,5797.577
KOR,2008,6010.801
KOR,2007,6073.363
KOR,2006,6064.038
KOR,2005,6084.947
KOR,2004,6160.625
KOR,2003,6148.254
KOR,2002,6096.596
KOR,2001,5956.742
KOR,2000,5977.91
KOS,2023,106.426
