ref_area,source,indicator,classif1,classif2,time,obs_value,obs_status,note_classif,note_indicator,note_source
ARG,BA:150,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2017,2554.962,,,,R1:3513_S4:33
ARG,BA:150,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2014,2639.317,,,I13:3888,R1:3513_S4:33
ARG,BA:150,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2013,2587.648,,,I13:3888,R1:3513_S4:33
ARG,BA:150,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2012,2534.517,,,I13:3888,R1:3513_S4:33
ARG,BA:150,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2011,2555.295,,,I13:3888,R1:3513_S4:33
ARG,BA:150,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2010,2444.524,,,I13:3888,R1:3513_S4:33
ARG,BA:150,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2009,2400.055,,,I13:3888,R1:3513_S4:33
ARG,BA:150,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2008,2455.267,,,I13:3888,R1:3513_S4:33
ARG,BA:150,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2006,2345.308,,,,R1:3513_S4:33
ARG,BA:150,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2005,2211.34,,,,R1:3513_S4:33
ARG,BA:150,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2004,2095.11,B,,I11:264,R1:3513_S4:33
ARM,BA:867,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2017,169.045,,,,R1:3513_T3:240
ARM,BA:867,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2016,158.816,,,,R1:3513_T3:240
ARM,BA:867,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2015,170.663,,,,R1:3513_T3:240
ARM,BA:867,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2014,189.624,B,,I11:264,R1:3513_T3:240
ARM,BA:867,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2008,224.83,B,,I11:264,R1:3513_T3:240
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2024,2785.407,,,,R1:3513
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2023,2775.905,,,,R1:3513
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2022,2625.233,,,,R1:3513
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2021,2550.495,,,,R1:3513
AUS,BA:518,EMP_TEMP_ECO_OCU_NB,ECO_SECTOR_IND,OCU_SKILL_TOTAL,2020,2501.435,,,,S14:4077_S4:30_S5:38
