typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,A,19880101,1988,52,1988,757,CHE,Switzerland,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,50711339008.0,50711339008.0,0,False,False
C,A,19880101,1988,52,1988,764,THA,Thailand,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,20283012525.0,,20283012525.0,0,False,False
C,A,19890101,1989,52,1989,36,AUS,Australia,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,39839624977.0,39839624977.0,0,False,False
C,A,19890101,1989,52,1989,36,AUS,Australia,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,35761442364.0,35761442364.0,0,False,False
C,A,19890101,1989,52,1989,50,BGD,Bangladesh,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,2954929854.0,,2954929854.0,0,False,False
C,A,19890101,1989,52,1989,50,BGD,Bangladesh,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,1328007712.0,1328007712.0,0,False,False
C,A,19890101,1989,52,1989,76,BRA,Brazil,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,19860207616.0,,19860207616.0,0,False,False
C,A,19890101,1989,52,1989,76,BRA,Brazil,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,34381434880.0,34381434880.0,0,False,False
C,A,19890101,1989,52,1989,124,CAN,Canada,M,Import,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,113908348657.0,113908348657.0,0,False,False
C,A,19890101,1989,52,1989,124,CAN,Canada,X,Export,0,W00,World,0,W00,World,H0,HS,True,TOTAL,All Commodities,0,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,,False,-1,N/A,,True,,False,,False,,115978242120.0,115978242120.0,0,False,False
